# key	value	pos
CJKごかんかんじ	CJK互換漢字	名詞
CJKごかんようもじ	CJK互換用文字	名詞
CJKとうごうかんじ	CJK統合漢字	名詞
FCとうきょう	FC東京	固有名詞
FCまちだぜるびあ	FC町田ゼルビア	固有名詞
PFAS	PFAS	名詞
あいしんかくら	愛新覚羅	姓
あおぞらぎんこう	あおぞら銀行	固有名詞
あくろばてぃっく	アクロバティック	名詞形動
あごだし	あご出汁	名詞
あさごはん	朝ごはん	名詞
あさごはん	朝ご飯	名詞
あてぬの	当て布	名詞サ変
あびすぱ	アビスパ	固有名詞
あびすぱふくおか	アビスパ福岡	固有名詞
あるびれっくす	アルビレックス	固有名詞
あるびれっくすにいがた	アルビレックス新潟	固有名詞
あんとらーず	アントラーズ	固有名詞
いーぐるす	イーグルス	固有名詞
いえけい	家系	名詞
いぐのーべるしょう	イグノーベル賞	固有名詞
いけいざい	違警罪	名詞
いこみき	已己巳己	名詞
いただきもの	頂き物	名詞
いちまん	一万	名詞
いっきょうたじゃく	一強他弱	名詞
いもじ	イ文字	名詞
いもじ	彝文字	名詞
いわぶろ	岩風呂	名詞
いんきゃ	陰キャ	名詞
いんてぃましー	intimacy	名詞
いんてぃましー	インティマシー	名詞
いんむ	淫夢	名詞
ゔぃっせる	ヴィッセル	固有名詞
ゔぃっせるこうべ	ヴィッセル神戸	固有名詞
ゔぇるでぃ	ヴェルディ	固有名詞
うすいほん	薄い本	名詞
うっぷんばらし	鬱憤晴らし	名詞サ変
うらめん	裏面	名詞
うらわれっず	浦和レッズ	固有名詞
うりどき	売り時	名詞
うんてい	芸亭	名詞
えいえいじてん	英英辞典	名詞
えちぜんてつどう	えちぜん鉄道	固有名詞
えつご	粤語	名詞
えふしーとうきょう	FC東京	固有名詞
えふしーまちだぜるびあ	FC町田ゼルビア	固有名詞
えみー	エミー	名
えんりゃく	延暦	固有名詞
おーぷんきゃりー	オープンキャリー	名詞サ変
おくぶたえ	奥二重	名詞
おくりて	送り手	名詞
おさらば	オサラバ	名詞サ変
おしごと	推し事	名詞サ変
おだいばこ	お題箱	名詞
おだえいいちろう	尾田栄一郎	人名
おねろり	おねロリ	名詞
おりっくす・ばふぁろーず	オリックス・バファローズ	固有名詞
おりっくすばふぁろーず	オリックスバファローズ	固有名詞
かーぷ	カープ	固有名詞
かいかい	回回	固有名詞
かいごかんせい	下位互換性	名詞
かいていこう	改訂稿	名詞
かえがみ	替紙	名詞
かぎょうしもいちだんかつよう	カ行下一段活用	名詞
かくしあじ	隠し味	名詞
かくしゃ	覚者	名詞
かくしゃく	赫灼	名詞
かしまあんとらーず	鹿島アントラーズ	固有名詞
かしゅうじゅ	過収受	名詞サ変
かじょうわん	渦状腕	名詞
かしわれいそる	柏レイソル	固有名詞
かねのなるき	金のなる木	名詞
かもふら	カモフラ	名詞サ変
からだき	空焚き	名詞サ変
かりおき	仮置き	名詞サ変
かわきもの	乾き物	名詞
かわさきふろんたーれ	川崎フロンターレ	固有名詞
かんさいみらいぎんこう	関西みらい銀行	固有名詞
かんじ	巻次	名詞
かんじこうせいきじゅつもじ	漢字構成記述文字	名詞
かんじょうば	勘定場	名詞
かんち	漢地	名詞
かんちょく	漢直	名詞サ変
がんば	ガンバ	固有名詞
がんばおおさか	ガンバ大阪	固有名詞
かんりめいがら	監理銘柄	名詞
きーぼーどしょーとかっと	キーボードショートカット	名詞
きかんせっけい	機関設計	名詞サ変
きご	徽語	名詞
きそう	寄贈	名詞サ変
きたかたらーめん	喜多方ラーメン	固有名詞
きたにっぽんしんぶんはい	北日本新聞杯	固有名詞
きっしょく	喫食	名詞サ変
きったん	契丹	固有名詞
きてん	輝点	名詞
きゅうかんそっかん	吸汗速乾	名詞サ変
きゅうせいこうこう	旧制高校	名詞
きゅうまん	九万	名詞
ぎゅうめし	牛めし	名詞
きょうせいきそ	強制起訴	名詞サ変
きょうとさんが	京都サンガ	固有名詞
きょうとさんがF.C.	京都サンガF.C.	固有名詞
きょうとさんがえふしー	京都サンガF.C.	固有名詞
きらぼしぎんこう	きらぼし銀行	固有名詞
きんとれ	筋トレ	名詞サ変
くうしゅうごう	空集合	名詞
くうぼうそう	空乏層	名詞
ぐらんぱす	グランパス	固有名詞
くるるぎ	枢木	姓
くわたけいすけ	桑田佳祐	人名
けいらんし	鶏卵紙	名詞
けっかんしゅうしゅく	血管収縮	名詞サ変
けっていこう	決定稿	名詞
けつりょう	結了	名詞サ変
げんごか	言語化	名詞サ変
げんしきょうさんしゅぎ	原始共産主義	名詞
けんじゅう	県住	名詞
けんちくせこう	建築施工	名詞サ変
げんな	元和	固有名詞
けんばら	権原	名詞
げんわ	元和	固有名詞
ごーるでんいーぐるす	ゴールデンイーグルス	固有名詞
こういこうしょくしゃはんざいそうさしょ	高位公職者犯罪捜査処	固有名詞
こういしつ	更衣室	名詞
こうえきつうほう	公益通報	名詞サ変
こうか	弘化	固有名詞
こうきぶしゅ	康煕部首	名詞
こうこう	礦坑	名詞
ごうしかいしゃ	合資会社	名詞
こうじょ	扣除	名詞サ変
こうそうしょ	公捜処	固有名詞
こうそけん	公訴権	名詞
