status	key	command
Conversion	ASCII	EditInsert
Conversion	Backspace	Cancel
Conversion	Ctrl ;	TranslateHalfKatakana
Conversion	Ctrl :	TranslateHalfASCII
Conversion	Ctrl '	TranslateHalfASCII
Conversion	Ctrl a	SegmentLeftEdge
Conversion	Ctrl b	SegmentLeft
Conversion	Ctrl Down	SubmitSegment
Conversion	Ctrl e	SegmentRightEdge
Conversion	Ctrl f	SegmentRight
Conversion	Ctrl g	Cancel
Conversion	Ctrl h	Cancel
Conversion	Ctrl i	SegmentShrink
Conversion	Ctrl j	TranslateHiragana
Conversion	Ctrl k	TranslateFullKatakana
Conversion	Ctrl l	TranslateFullASCII
Conversion	Ctrl Left	SegmentLeftEdge
Conversion	Ctrl m	Submit
Conversion	Ctrl n	ConvertNext
Conversion	Ctrl o	SegmentExpand
Conversion	Ctrl p	ConvertPrev
Conversion	Ctrl Right	SegmentRightEdge
Conversion	Down	ConvertNext
Conversion	Enter	Submit
Conversion	ESC	Cancel
Conversion	F1	ReportBug
Conversion	F10	TranslateHalfASCII
Conversion	F10	TranslateHalfASCII
Conversion	F6	TranslateHiragana
Conversion	F7	TranslateFullKatakana
Conversion	F8	TranslateHalfKatakana
Conversion	F9	TranslateFullASCII
Conversion	Henkan	ConvertNext
Conversion	Left	SegmentLeft
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
Conversion	PageDown	ConvertNextPage
Conversion	PageUp	ConvertPrevPage
Conversion	Right	SegmentRight
Conversion	Shift Down	ConvertNextPage
Conversion	Shift Left	SegmentShrink
Conversion	Shift Right	SegmentExpand
Conversion	Shift Up	ConvertPrevPage
Conversion	Space	ConvertNext
Conversion	Tab	PredictNext
Conversion	Up	ConvertPrev
Direct	ON	IMEOn
Fundamental	ASCII	EditInsert
Fundamental	OFF	IMEOff
Fundamental	ON	IMEOn
Fundamental	Space	EditSpace
Fundamental	Shift Space	EditSpaceToggled
Preedit	ASCII	EditInsert
Preedit	Backspace	EditBackspace
Preedit	Ctrl ,	ToggleCompositionMode
Preedit	Ctrl ;	TranslateHalfKatakana
Preedit	Ctrl :	TranslateHalfASCII
Preedit	Ctrl '	TranslateHalfASCII
Preedit	Ctrl a	CursorLeftEdge
Preedit	Ctrl b	CursorLeft
Preedit	Ctrl d	EditDelete
Preedit	Ctrl e	CursorRightEdge
Preedit	Ctrl f	CursorRight
Preedit	Ctrl g	Cancel
Preedit	Ctrl h	EditBackspace
Preedit	Ctrl j	TranslateHiragana
Preedit	Ctrl k	TranslateFullKatakana
Preedit	Ctrl l	TranslateFullASCII
Preedit	Ctrl Left	CursorLeftEdge
Preedit	Ctrl m	Submit
Preedit	Ctrl m	Submit
Preedit	Ctrl Right	CursorRightEdge
Preedit	Delete	EditDelete
Preedit	Enter	Submit
Preedit	ESC	Cancel
Preedit	F10	TranslateHalfASCII
Preedit	F10	TranslateHalfASCII
Preedit	F12	ConvertWithoutHistory
Preedit	F6	TranslateHiragana
Preedit	F7	TranslateFullKatakana
Preedit	F8	TranslateHalfKatakana
Preedit	F9	TranslateFullASCII
Preedit	Henkan	Convert
Preedit	Left	CursorLeft
Preedit	OFF	IMEOff
Preedit	ON	IMEOn
Preedit	Right	CursorRight
Preedit	Space	Convert
Preedit	Tab	PredictNext
Suggestion	Down	PredictNext
Suggestion	Shift Enter	SubmitFirstSuggestion
